Case Label,Case ID,Transcript,Position,Input Token,Model True Prediction (Top K + Prob Sum),Layer,Baseline (logit-lens),Pure ASR,Mixed 50/50,Pure QA
QA held-out example,VAL_QA_020,thunderstorm,28,<|AUDIO|>,ing | ed | ers | oms | 逊 (sum: 0.33),20,准备 | ing | 迟 | 压 | preparation (sum: 0.41),准备 | 准备工作 | rain | thunder | preparation (sum: 0.68),准备工作 | rain | 准备 | thunder | 雷 (sum: 0.47),thunder | ing | 雷 | 雷霆 | rain (sum: 0.44)
QA held-out example,VAL_QA_020,thunderstorm,28,<|AUDIO|>,ing | ed | ers | oms | 逊 (sum: 0.33),24,ing | en | ed | m | 准备 (sum: 0.67),ing | rain | 准备 | thunder | 雷 (sum: 0.66),ing | rain | thunder | 准备 | 雷 (sum: 0.81),ing | rain | thunder | 准备 | ed (sum: 0.80)
QA held-out example,VAL_QA_020,thunderstorm,28,<|AUDIO|>,ing | ed | ers | oms | 逊 (sum: 0.33),28,ing | y | ed | ers | m (sum: 0.64),ing | ers | thunder | rolling | lightning (sum: 0.58),ing | ers | thunder | ed | rolling (sum: 0.72),ing | ed | ers | thunder | rolling (sum: 0.67)
QA held-out example,VAL_QA_020,thunderstorm,28,<|AUDIO|>,ing | ed | ers | oms | 逊 (sum: 0.33),30,ing | m | ed | ers | in (sum: 0.35),ing | ers | ed | es | m (sum: 0.53),ing | ers | ed | ment | es (sum: 0.41),ing | ers | ment | ed | storm (sum: 0.28)
QA held-out example,VAL_QA_020,thunderstorm,42,<|AUDIO|>,is | ed | ing | storm | r (sum: 0.25),0,回事 | 裸 | 间 | 打仗 | 推广 (sum: 0.10),凤凰 | 错过了 | 予 | 姻 | 的信息 (sum: 0.17),备用 | abbix | 雷 | 错过了 | 喀 (sum: 0.10),备用 | abbix | � | salope | devuelve (sum: 0.07)
QA held-out example,VAL_QA_020,thunderstorm,42,<|AUDIO|>,is | ed | ing | storm | r (sum: 0.25),8,斟 | 回事 | 持有 | 蕴 | ed (sum: 0.16),预报 | 雨 | 茅 | 降到 | 天气 (sum: 0.12),雷霆 | 预报 | 雷 | 天气 | rain (sum: 0.26),雷霆 | 慢慢 | rain | 备用 | 雷 (sum: 0.18)
QA held-out example,VAL_QA_020,thunderstorm,42,<|AUDIO|>,is | ed | ing | storm | r (sum: 0.25),16,吻 | 毒 | 本身 | 所有的 | ed (sum: 0.11),预报 | rain | 天气 | 一声 | 霾 (sum: 0.60),预报 | rain | 气象 | 雷霆 | 雷 (sum: 0.56),慢慢 | 气象 | 雷霆 | rain | 预报 (sum: 0.37)
QA held-out example,VAL_QA_020,thunderstorm,42,<|AUDIO|>,is | ed | ing | storm | r (sum: 0.25),20,ed | ing | ins | - | 加 (sum: 0.26),雷 | 雷霆 | rain | thunder | 气象 (sum: 0.51),雷 | 雷霆 | thunder | storm | 气象 (sum: 0.73),雷 | 雷霆 | thunder | ing | storm (sum: 0.69)
QA held-out example,VAL_QA_020,thunderstorm,42,<|AUDIO|>,is | ed | ing | storm | r (sum: 0.25),24,ing | - | ed |  | . (sum: 0.74),风暴 | ing | thunder | rain | 雷 (sum: 0.55),ing | thunder | 风暴 | rain | storm (sum: 0.63),ing | thunder | 风暴 | storm | rain (sum: 0.61)
QA held-out example,VAL_QA_020,thunderstorm,42,<|AUDIO|>,is | ed | ing | storm | r (sum: 0.25),28,ed | - | ing | is | r (sum: 0.64),风暴 | storm | ing | rolling | thunder (sum: 0.27),ing | storm | rolling | thunder | ed (sum: 0.33),ing | storm | ed | rolling | thunder (sum: 0.34)
QA held-out example,VAL_QA_020,thunderstorm,42,<|AUDIO|>,is | ed | ing | storm | r (sum: 0.25),30,ed | is | ing | r | was (sum: 0.35),ed | ing | storm | r | ous (sum: 0.28),ed | ing | storm | r | is (sum: 0.22),storm | ing | ed | 的大 | r (sum: 0.16)
QA held-out example,VAL_QA_020,thunderstorm,56,<|AUDIO|>, | 大雨 | Thunder |  | thunder (sum: 0.26),0,<|0.01|> | rev | <|6.10|> | 空前 | 怠 (sum: 0.55),是否 | tridges | 此次 | 场上 | 为什么要 (sum: 0.12),投入 | 在这个 | 常务副 | 经费 | 所需要的 (sum: 0.06),哝 | ♯ | 常务副 | 所需要的 | .nr (sum: 0.03)
QA held-out example,VAL_QA_020,thunderstorm,56,<|AUDIO|>, | 大雨 | Thunder |  | thunder (sum: 0.26),8,rev | 空前 | Rev | 怠 | let (sum: 0.24),` | ``` | 最后 | 与众不同 | 轻轻地 (sum: 0.11),最后 | 最后一个 | 最后一次 | ` | 最终 (sum: 0.18),似乎 | 最后一个 | 最后 | 最后一次 | 最终 (sum: 0.12)
QA held-out example,VAL_QA_020,thunderstorm,56,<|AUDIO|>, | 大雨 | Thunder |  | thunder (sum: 0.26),16,最后 | 缘 | 硅 | 说话 | Rev (sum: 0.13),最后 | 录音 | 呼吸 | ` | 雪 (sum: 0.17),最后 | 用力 | ums | 最后一个 | 录音 (sum: 0.14),用力 | 最后 | 只是 | ums | 最后一个 (sum: 0.05)
QA held-out example,VAL_QA_020,thunderstorm,56,<|AUDIO|>, | 大雨 | Thunder |  | thunder (sum: 0.26),20,最后 | 怀抱 | 院子里 | 把这个 | 随着 (sum: 0.09),隆 | } | 越来越 | 用力 | 独 (sum: 0.12),用力 |  | 最后 | 怀抱 | } (sum: 0.14),用力 |  | 怀抱 | 最后 | 陪 (sum: 0.09)
QA held-out example,VAL_QA_020,thunderstorm,56,<|AUDIO|>, | 大雨 | Thunder |  | thunder (sum: 0.26),24,太 |  |  |  | 随着 (sum: 0.28),太 | 隆 |  |  | 大雨 (sum: 0.10),隆 | 随着 | 雨 | 强行 |  (sum: 0.09),隆 | 雨 | 强行 | 随着 | 陪 (sum: 0.06)
QA held-out example,VAL_QA_020,thunderstorm,56,<|AUDIO|>, | 大雨 | Thunder |  | thunder (sum: 0.26),28, |  | - | / | 3 (sum: 0.53), | 大雨 | 滚滚 | 雨 |  (sum: 0.22),大雨 |  | 雨 | 虹 | 第二次 (sum: 0.10),大雨 | 暴 | 虹 | 第二次 | 雨 (sum: 0.08)
QA held-out example,VAL_QA_020,thunderstorm,56,<|AUDIO|>, | 大雨 | Thunder |  | thunder (sum: 0.26),30, | 雷 |  | 雨 | 大雨 (sum: 0.19), |  | - | ` | in (sum: 0.51), | 大雨 | thunder | ` | Thunder (sum: 0.19),大雨 | thunder | Thunder |  | ` (sum: 0.12)
QA held-out example,VAL_QA_020,thunderstorm,69,<|AUDIO|>,m | m | ms | storm | 2 (sum: 0.94),0,arch | 奖 | 洽 | 唱 | ata (sum: 0.17),的信息 | 瑕疵 | 触 | 的声音 | n (sum: 0.23),触 | 瑕疵 | 上升 | abbix | � (sum: 0.12),宦 | � | <|0.00|> | 备用 | abbix (sum: 0.09)
QA held-out example,VAL_QA_020,thunderstorm,69,<|AUDIO|>,m | m | ms | storm | 2 (sum: 0.94),8,奖 | ed | 赐 | omed | ob (sum: 0.14),的声音 | 瑕疵 | 错过了 | 羽毛 | SUBSTITUTE (sum: 0.15),瑕疵 | 肃 | 赐 | 的声音 | 安慰 (sum: 0.06),赐 | ling | 缓冲 | 哝 | 刻画 (sum: 0.07)
QA held-out example,VAL_QA_020,thunderstorm,69,<|AUDIO|>,m | m | ms | storm | 2 (sum: 0.94),16,ed | 渐渐 | 另一方面 | m | 奖 (sum: 0.09),的声音 | out | 预报 | 这里是 | 流星 (sum: 0.19),飘 | 流星 | 流 | 慢慢 | 掉 (sum: 0.11),流 | 慢慢 | stream | 数千 | 飘 (sum: 0.20)
QA held-out example,VAL_QA_020,thunderstorm,69,<|AUDIO|>,m | m | ms | storm | 2 (sum: 0.94),20,ed | 洪 | m | ier | underst (sum: 0.32),rain | storm | out | 让学生 | storm (sum: 0.25),storm | rain | storm | 雷霆 | thunder (sum: 0.32),storm | 雷霆 | rain | storm | thunder (sum: 0.23)
QA held-out example,VAL_QA_020,thunderstorm,69,<|AUDIO|>,m | m | ms | storm | 2 (sum: 0.94),24,- | * | / | m | . (sum: 0.79),rain | storm | lightning | thunder | storm (sum: 0.68),rain | storm | lightning | thunder | storm (sum: 0.77),rain | lightning | storm | thunder | 闪电 (sum: 0.65)
QA held-out example,VAL_QA_020,thunderstorm,69,<|AUDIO|>,m | m | ms | storm | 2 (sum: 0.94),28,- | m | m | . |  (sum: 0.95),thunder | rolling | lightning | m | m (sum: 0.37),thunder | rolling | lightning | storm | m (sum: 0.36),thunder | rolling | lightning | storm | 龙 (sum: 0.26)
QA held-out example,VAL_QA_020,thunderstorm,69,<|AUDIO|>,m | m | ms | storm | 2 (sum: 0.94),30,m | m | - | 2 |  (sum: 0.95),m | m | thunder | storm | rain (sum: 0.75),m | storm | m | thunder | lightning (sum: 0.60),m | storm | thunder | 暴 | lightning (sum: 0.41)
QA held-out example,VAL_QA_020,thunderstorm,83,<|AUDIO|>, | world | 的需求 | 世界 | 需求 (sum: 0.52),0,<|0.01|> | 不下 | benefici | 自然而然 | enders (sum: 0.31),或者是 | 呐 | 歌声 | 缺乏 | 的声音 (sum: 0.19),歌声 | 的声音 | 笑声 | 或者是 | 的通知 (sum: 0.08),<|im_end|> | 逊 | zg | 📣 | 춤 (sum: 0.08)
QA held-out example,VAL_QA_020,thunderstorm,83,<|AUDIO|>, | world | 的需求 | 世界 | 需求 (sum: 0.52),8,不下 | benefici | 泯 | <|0.01|> | 奖励 (sum: 0.15),呐 | 黑白 | 容量 | 存在着 | 错过了 (sum: 0.07),容量 | =url | 黑白 | 规模化 | 自然而然 (sum: 0.08),规模化 | =url | 其余 | 分级 | 规模 (sum: 0.10)
QA held-out example,VAL_QA_020,thunderstorm,83,<|AUDIO|>, | world | 的需求 | 世界 | 需求 (sum: 0.52),16,弓 | 某种程度 | 自然而 | 不下 | 有的人 (sum: 0.08),的原则 | 黑白 |  | 化学品 | 和个人 (sum: 0.10),化学品 | shake | 膈 | 自然 | 箭 (sum: 0.07),划 | 膈 | 尔斯 | .defineProperty | � (sum: 0.04)
QA held-out example,VAL_QA_020,thunderstorm,83,<|AUDIO|>, | world | 的需求 | 世界 | 需求 (sum: 0.52),20,顶 | 自然 | etto | 给 | 者 (sum: 0.10)," |  | ` | ' | "" (sum: 0.98)", |  | 地方 | 打造出 | ` (sum: 0.58), | 地方 |  | 打造出 | <|im_end|> (sum: 0.04)
QA held-out example,VAL_QA_020,thunderstorm,83,<|AUDIO|>, | world | 的需求 | 世界 | 需求 (sum: 0.52),24,无法 | . | 难以 | 其它 |  (sum: 0.13), |  | . | . | ' (sum: 0.64), |  | 无法 | 地方 | 大脑 (sum: 0.28),无法 |  | 空 |  | ation (sum: 0.10)
QA held-out example,VAL_QA_020,thunderstorm,83,<|AUDIO|>, | world | 的需求 | 世界 | 需求 (sum: 0.52),28, | - | . | . |  (sum: 0.51), | 人间 | 抓住 |  | . (sum: 0.64), | 人间 | 抓住 | 地方 | 放 (sum: 0.14),放 | 雨 | ation | 地方 | 收入 (sum: 0.05)
QA held-out example,VAL_QA_020,thunderstorm,83,<|AUDIO|>, | world | 的需求 | 世界 | 需求 (sum: 0.52),30, | world |  | 的需求 | rain (sum: 0.62), | world | 人间 |  | <|im_end|> (sum: 0.94), | world | 人间 | <|im_end|> | 的需求 (sum: 0.72), | <|im_end|> | world | 人间 | 的需求 (sum: 0.28)
QA held-out example,VAL_QA_020,thunderstorm,97,<|AUDIO|>, | ] | <|im_end|> | ` | ”的 (sum: 0.60),0,<|0.01|> | 渎 | _INLINE | 防腐 | 初步 (sum: 0.16),的声音 | 或者是 | 然是 | 歌声 | 音响 (sum: 0.15),的声音 | 这个地方 | 乐观 | BeautifulSoup | 合适 (sum: 0.10),！'); | )}> | <|im_end|> | BeautifulSoup | 用心 (sum: 0.11)
QA held-out example,VAL_QA_020,thunderstorm,97,<|AUDIO|>, | ] | <|im_end|> | ` | ”的 (sum: 0.60),8,初步 | 拒绝 | 柔性 | sk | 一对一 (sum: 0.09),而现在 | 错过 | 合适 | 地方 | 太平 (sum: 0.09),地方 | <|im_end|> | 膨胀 | 合适 | 错过 (sum: 0.11),份 | 地方 | 分 | 其余 | <|im_end|> (sum: 0.08)
QA held-out example,VAL_QA_020,thunderstorm,97,<|AUDIO|>, | ] | <|im_end|> | ` | ”的 (sum: 0.60),16,合适 | 受益 | ple | 搏 | 适宜 (sum: 0.14),<|im_end|> |  | 等一系列 |  | ` (sum: 0.15),<|im_end|> | 蜂蜜 | 停车 | ` |  (sum: 0.13),繁忙 | $conn | 停车 | <|im_end|> | 附加 (sum: 0.09)
QA held-out example,VAL_QA_020,thunderstorm,97,<|AUDIO|>, | ] | <|im_end|> | ` | ”的 (sum: 0.60),20,顶 | 给 | 搏 |  | 征 (sum: 0.24), |  | ` | ] | ` (sum: 0.92), |  | <|im_end|> | 繁忙 | ` (sum: 0.66), | 繁忙 | <|im_end|> |  | 地方 (sum: 0.17)
QA held-out example,VAL_QA_020,thunderstorm,97,<|AUDIO|>, | ] | <|im_end|> | ` | ”的 (sum: 0.60),24,- |  | / | _ | 给 (sum: 0.80), |  | . | <|im_end|> | ] (sum: 0.84), |  | <|im_end|> | 顶 |  (sum: 0.50), |  | 顶 | <|im_end|> | 耳 (sum: 0.15)
QA held-out example,VAL_QA_020,thunderstorm,97,<|AUDIO|>, | ] | <|im_end|> | ` | ”的 (sum: 0.60),28," | - | . | , | / (sum: 0.87)", | <|im_end|> | 地面 |  | ] (sum: 0.44), | <|im_end|> | 地面 | ] | 定向 (sum: 0.22),<|im_end|> |  | 定向 | 地面 | 雨 (sum: 0.11)
QA held-out example,VAL_QA_020,thunderstorm,97,<|AUDIO|>, | ] | <|im_end|> | ` | ”的 (sum: 0.60),30," |  | ] | , | 其他 (sum: 0.80)"," | <|im_end|> | , | ` |  (sum: 0.87)",<|im_end|> |  | ` | ] |  (sum: 0.80),<|im_end|> |  | ` | rainy | ] (sum: 0.77)
QA held-out example,VAL_QA_020,thunderstorm,111,<|AUDIO|>,<|im_end|> |  | natural | the | nature (sum: 0.66),0,致癌 | oria | 腐蚀 | 开业 | 防腐 (sum: 0.14),音频 | 音 | 音响 | 这个地方 | 可能是 (sum: 0.09),perc | 膨胀 | 反腐倡廉 | utan | 音频 (sum: 0.08),<|im_end|> | 设计器 | ！'); | 应注意 | 喟 (sum: 0.05)
QA held-out example,VAL_QA_020,thunderstorm,111,<|AUDIO|>,<|im_end|> |  | natural | the | nature (sum: 0.66),8,开业 | 致癌 | 慎 | 应 | 字 (sum: 0.15),膨胀 | 谢 | 中途 | 那个人 | Absent (sum: 0.15),膨胀 | 谢 | 中途 | 应注意 | <|im_end|> (sum: 0.16),<|im_end|> | 应注意 | .responseText | 中途 | $conn (sum: 0.05)
QA held-out example,VAL_QA_020,thunderstorm,111,<|AUDIO|>,<|im_end|> |  | natural | the | nature (sum: 0.66),16,获 | 柔性 | 搏 | 楼层 | _ (sum: 0.32),<|im_end|> | 谢 | Inspir | 突如其 | 地面 (sum: 0.09),<|im_end|> | $conn | 觉 | 工厂 | 做工 (sum: 0.10),<|im_end|> | $conn | 逐 | 觉 | .responseText (sum: 0.08)
QA held-out example,VAL_QA_020,thunderstorm,111,<|AUDIO|>,<|im_end|> |  | natural | the | nature (sum: 0.66),20,led | 收 | 获 | 范文 | 搏 (sum: 0.16),<|im_end|> | 避开 | 自然 | 避 | Earth (sum: 0.16),<|im_end|> | 挑剔 | 避 | 自然 | 合适 (sum: 0.24),<|im_end|> | 挑剔 | 避 | 合适 | 自然 (sum: 0.17)
QA held-out example,VAL_QA_020,thunderstorm,111,<|AUDIO|>,<|im_end|> |  | natural | the | nature (sum: 0.66),24,_ | 营业 |  | . | - (sum: 0.47),<|im_end|> | sounding | 自然 | nature | Nature (sum: 0.27),<|im_end|> | 自然 | Nature | sounding | nature (sum: 0.29),<|im_end|> | 捕 | 挑剔 | Nature | 自然 (sum: 0.20)
QA held-out example,VAL_QA_020,thunderstorm,111,<|AUDIO|>,<|im_end|> |  | natural | the | nature (sum: 0.66),28, | - | . | / |  (sum: 0.58),<|im_end|> | 自然 | 大自然 | weather | 特点 (sum: 0.36),<|im_end|> | 特点 | 敬业 | weather | Nature (sum: 0.46),<|im_end|> | 特点 | 捕 | 敬业 | $conn (sum: 0.42)
QA held-out example,VAL_QA_020,thunderstorm,111,<|AUDIO|>,<|im_end|> |  | natural | the | nature (sum: 0.66),30, | 自然 | the | natural | Nature (sum: 0.23),<|im_end|> | the |  | natural | nature (sum: 0.82),<|im_end|> | natural | the | nature |  (sum: 0.89),<|im_end|> | natural | 자연 | nature | Nature (sum: 0.90)
QA held-out example,VAL_QA_020,thunderstorm,125,<|AUDIO|>,自然 | urrences | 掌 | -m | ': (sum: 0.48),0,}>< | //////////////////////////////////////////////////// | 폭 | 菡 | 乜 (sum: 0.13),声音 | 的声音 | 音频 | 但是如果 | grand (sum: 0.28),什 | <|0.00|> | 参与到 | 下面小编 | 分开 (sum: 0.06),<|0.00|> | meis | IService | Mailer | GObject (sum: 0.20)
QA held-out example,VAL_QA_020,thunderstorm,125,<|AUDIO|>,自然 | urrences | 掌 | -m | ': (sum: 0.48),8,计 | 自然而 | 共 | 产权 | readystatechange (sum: 0.12),声音 | 成长为 | 金融市场 | 的声音 | . (sum: 0.09),金属 | 金融市场 | Vuex | grand | 接触 (sum: 0.09),Vuex | 金属 | 不良 | 狗 | 参与到 (sum: 0.06)
QA held-out example,VAL_QA_020,thunderstorm,125,<|AUDIO|>,自然 | urrences | 掌 | -m | ': (sum: 0.48),16,然 | 婆 | 征集 | 部落 | 自然 (sum: 0.17),grand | 金属 | der | 等工作 | 录音 (sum: 0.20),grand | 金属 | lem | der | 公共 (sum: 0.23),lem | 金属 | grand | 狗 | 密集 (sum: 0.10)
QA held-out example,VAL_QA_020,thunderstorm,125,<|AUDIO|>,自然 | urrences | 掌 | -m | ': (sum: 0.48),20,自然 | 然 | 夏天 | 婆 | 部落 (sum: 0.24),录音 | grand | 走进 | 记录 | 内 (sum: 0.19),grand | 录 | 自然 | ason | 录音 (sum: 0.10),grand | ason | 感叹 | Polygon | Pitch (sum: 0.04)
QA held-out example,VAL_QA_020,thunderstorm,125,<|AUDIO|>,自然 | urrences | 掌 | -m | ': (sum: 0.48),24,录 | ite | 自然 | / | 优 (sum: 0.24),录 | - | : | ' | however (sum: 0.48),录 | 部落 | : | - | ays (sum: 0.22),录 | 部落 | 圈 | vie | Interior (sum: 0.07)
QA held-out example,VAL_QA_020,thunderstorm,125,<|AUDIO|>,自然 | urrences | 掌 | -m | ': (sum: 0.48),28,- | 录 | 自然 | / | 掌 (sum: 0.47),- | 掌 | 录 | - | 自然 (sum: 0.46),- | 掌 | 录 | 制 | - (sum: 0.29),制 | 掌 | - | 录 | - (sum: 0.14)
QA held-out example,VAL_QA_020,thunderstorm,125,<|AUDIO|>,自然 | urrences | 掌 | -m | ': (sum: 0.48),30,自然 | - | 然 | x | ones (sum: 0.58),- | 自然 | urrences | : | -m (sum: 0.71),- | 自然 | <|im_end|> | urrences | -m (sum: 0.44),自然 | - | <|im_end|> | urrences | :// (sum: 0.19)
