Case Label,Case ID,Transcript,Position,Input Token,Model True Prediction,Layer,Baseline (logit-lens),Pure ASR,Mixed 50/50,Pure QA,
ASR held-out example,VAL_ASR_EN_000,a tornado is a spinning column of very low-pressure air which sucks the surrounding air inward and upward,200, inward,and | <|im_end|> | \ | ly | и | in,20,and | /out | 和 | и | 性和 | و,and | toward | 和 | and | along | into,and | into | 和 | 以及 | along | toward,and | into | 以及 | along | および | 和,
ASR held-out example,VAL_ASR_EN_000,a tornado is a spinning column of very low-pressure air which sucks the surrounding air inward and upward,200, inward,and | <|im_end|> | \ | ly | и | in,24,and | 和 | /out | ly | и | -and,and | 和 | toward | ward | along | and,and | 和 | ward | toward | /out | along,and | 和 | ward | /out | 和 | along,
ASR held-out example,VAL_ASR_EN_000,a tornado is a spinning column of very low-pressure air which sucks the surrounding air inward and upward,200, inward,and | <|im_end|> | \ | ly | и | in,28,and | 和 | ly | /out | и | and,and | 和 | and | in | и | 和,and | 和 | and | 和 | -and | in,and | 和 | and | 和 | -and | ly,
ASR held-out example,VAL_ASR_EN_000,a tornado is a spinning column of very low-pressure air which sucks the surrounding air inward and upward,200, inward,and | <|im_end|> | \ | ly | и | in,30,and | ly | и | 和 | and | -and,and | in | 和 | <|im_end|> | и | 和,and | <|im_end|> | in | 和 | и | 和,and | <|im_end|> | 和 | in | 和 | и,
ASR held-out example,VAL_ASR_EN_000,a tornado is a spinning column of very low-pressure air which sucks the surrounding air inward and upward,201, and,upward | upwards | downward | outward | upscale | 向上,0,/or |  | / | / |  | -,出口 | 性和 | 弦 | 经验和 | 管理和 | 技术和,企业和 | 管理和 | 不仅是 | sand | 性和 | and,have | are | 综合实力 | 开了 | also | 管理和,
ASR held-out example,VAL_ASR_EN_000,a tornado is a spinning column of very low-pressure air which sucks the surrounding air inward and upward,201, and,upward | upwards | downward | outward | upscale | 向上,8,"/or | , |  | ... | / | .",and | then | 而且 | -and | 尘 | 顺应,and | then | the | it | also | -and,and | then | the | also | both | their,
ASR held-out example,VAL_ASR_EN_000,a tornado is a spinning column of very low-pressure air which sucks the surrounding air inward and upward,201, and,upward | upwards | downward | outward | upscale | 向上,16,/or | at | 降 | 推 | then | rog,and | . |  | 。 | . | at,and | 。 | down | up | . | at,down | up | and | 紫 | 的东西 | wide,
ASR held-out example,VAL_ASR_EN_000,a tornado is a spinning column of very low-pressure air which sucks the surrounding air inward and upward,201, and,upward | upwards | downward | outward | upscale | 向上,20,/or | up | 向上 | into | 使之 | 使其,向上 | 之上 | up | 往上 | 向下 | toward,向上 | up | 之上 | 往上 | 向下 | out,up | 向上 | out | 之上 | into | onto,
ASR held-out example,VAL_ASR_EN_000,a tornado is a spinning column of very low-pressure air which sucks the surrounding air inward and upward,201, and,upward | upwards | downward | outward | upscale | 向上,24,向上 | up | Up | 往上 | 朝 | up,向上 | upward | up | 往上 | upwards | up,向上 | up | upward | 往上 | up | upwards,向上 | up | upward | 往上 | up | upwards,
ASR held-out example,VAL_ASR_EN_000,a tornado is a spinning column of very low-pressure air which sucks the surrounding air inward and upward,201, and,upward | upwards | downward | outward | upscale | 向上,28,向上 | up | 朝 | 至上 | 向 | 上下,向上 | upward | up | 至上 | 上下 | upscale,向上 | up | upward | 上下 | 至上 | upscale,向上 | up | upward | 升起 | 上下 | upt,
ASR held-out example,VAL_ASR_EN_000,a tornado is a spinning column of very low-pressure air which sucks the surrounding air inward and upward,201, and,upward | upwards | downward | outward | upscale | 向上,30,向上 | up | upward | upscale | 朝 | up,upward | up | 向上 | and | upscale | upwards,upward | up | 向上 | upscale | upwards | outward,upward | up | 向上 | upscale | upwards | outward,
ASR held-out example,VAL_ASR_EN_000,a tornado is a spinning column of very low-pressure air which sucks the surrounding air inward and upward,202, upward,<|im_end|> | . | . | .' | 。 | ,0,部 | 足够 | 兼 | 走在 | wards | 更多,<|0.00|> | 向下 | toward | <|3.21|> | 兼 | <|3.19|>,toward | towards | 向上 | 向下 | wards | 兼,toward | towards | <|im_end|> | 言论 | 向上 | slow,
ASR held-out example,VAL_ASR_EN_000,a tornado is a spinning column of very low-pressure air which sucks the surrounding air inward and upward,202, upward,<|im_end|> | . | . | .' | 。 | ,8,wards | 穷 | 更多 | coast | 受 | 作用,向上 | upward |  | 飞翔 | 吹 | ．,向上 | upward | wards | 。 | 越高 | 越,and | 向上 | 。 | 越 | upward | up,
ASR held-out example,VAL_ASR_EN_000,a tornado is a spinning column of very low-pressure air which sucks the surrounding air inward and upward,202, upward,<|im_end|> | . | . | .' | 。 | ,16,ness | wards | 善 | 参 | 星 | <>,. |  | 。 | . | ． | .,. | 。 |  | ． | . | <|im_end|>,. | 。 | <|im_end|> |  | ． | .,
ASR held-out example,VAL_ASR_EN_000,a tornado is a spinning column of very low-pressure air which sucks the surrounding air inward and upward,202, upward,<|im_end|> | . | . | .' | 。 | ,20,主 | ness | wards | 练 | 两 | 参,. | . |  | 。 | .' | ．,. | . | 。 | <|im_end|> |  | 。,<|im_end|> | . | . | 。 | 。 | ．,
ASR held-out example,VAL_ASR_EN_000,a tornado is a spinning column of very low-pressure air which sucks the surrounding air inward and upward,202, upward,<|im_end|> | . | . | .' | 。 | ,24,ness | ly | wards | 主 | 信 | 越,. |  | . | .' | <|im_end|> | ',. | . |  | <|im_end|> | .' | 。,<|im_end|> | . | . |  | 。 | 。,
ASR held-out example,VAL_ASR_EN_000,a tornado is a spinning column of very low-pressure air which sucks the surrounding air inward and upward,202, upward,<|im_end|> | . | . | .' | 。 | ,28,. | ly | A |  | . | A,"<|im_end|> | . |  | a | .' | .\""","<|im_end|> | . |  | 。 | .\"" | .'","<|im_end|> | 。 |  | . | ． | .\""",
ASR held-out example,VAL_ASR_EN_000,a tornado is a spinning column of very low-pressure air which sucks the surrounding air inward and upward,202, upward,<|im_end|> | . | . | .' | 。 | ,30,. | <|im_end|> |  | a | .' | .,"<|im_end|> | . |  | a | .\"" | .","<|im_end|> | . | .\"" | 。 | .' | .","<|im_end|> | . | .\"" | 。 | .' | .",
ASR held-out example,VAL_ASR_EN_010,the amazon river is the second longest and the biggest river on earth it carries more than 8 times as much water as the second biggest river,317, as,the |  | any | . | \n | second,0,well | 套 | 心灵 | 鸣 | 远远 | possible,<|0.00|> | 的信息 | 重要的 | 誓言 | 当做 | 作为,<|0.00|> | possible | as | 应 | repeated | 重要的,a | ever | una | one | usual | most,
ASR held-out example,VAL_ASR_EN_010,the amazon river is the second longest and the biggest river on earth it carries more than 8 times as much water as the second biggest river,317, as,the |  | any | . | \n | second,8, | ( | in | we | - | .,than | 比 | twice | 敢 | 最多 | 还不够,than | the | any | twice | necessary | a,the | any | a | most | what | our,
ASR held-out example,VAL_ASR_EN_010,the amazon river is the second longest and the biggest river on earth it carries more than 8 times as much water as the second biggest river,317, as,the |  | any | . | \n | second,16,any | the | 即便是 | even | most | 是一件,even | the | than | 即便是 | any | 它的,the | even | than | any | 同类 | what,the | 同类 | any | what | other | than,
ASR held-out example,VAL_ASR_EN_010,the amazon river is the second longest and the biggest river on earth it carries more than 8 times as much water as the second biggest river,317, as,the |  | any | . | \n | second,20,second | the | 第二 | any | other | 级,second | 第二 | 河流 | 流量 | the | river,river | second | the | 河流 | 第二 | 流量,river | the | second | 一条 | 河流 | rivers,
ASR held-out example,VAL_ASR_EN_010,the amazon river is the second longest and the biggest river on earth it carries more than 8 times as much water as the second biggest river,317, as,the |  | any | . | \n | second,24,the | second | 第二 | The | 第二个 | next,second | the | 第二 | 第二个 | second | next,the | second | 第二 | 第二个 | second | next,the | second | 第二个 | 第二 | second | the,
ASR held-out example,VAL_ASR_EN_010,the amazon river is the second longest and the biggest river on earth it carries more than 8 times as much water as the second biggest river,317, as,the |  | any | . | \n | second,28,the | second | 第二 | all | any | The,the | second | 第二 | 第二个 | second | 第二次,the | second | 第二 | 第二个 | second | third,the | second | 第二 | 第二个 | third | any,
ASR held-out example,VAL_ASR_EN_010,the amazon river is the second longest and the biggest river on earth it carries more than 8 times as much water as the second biggest river,317, as,the |  | any | . | \n | second,30,the | second | t |  | the | any,the | second | any | t | <|im_end|> | did,the | second | <|im_end|> | any | does | t,the | second | <|im_end|> | any | does | his,
ASR held-out example,VAL_ASR_EN_010,the amazon river is the second longest and the biggest river on earth it carries more than 8 times as much water as the second biggest river,319, second,biggest | largest | . | busiest | big | big,0,* | -- | a | es | t | 十,被 | 遗忘 | 放下 | 第二 | second | 幺,and | second | commercial | 一套 | ness | 。,and | the | that | in | second | as,
ASR held-out example,VAL_ASR_EN_010,the amazon river is the second longest and the biggest river on earth it carries more than 8 times as much water as the second biggest river,319, second,biggest | largest | . | busiest | big | big,8, | B | one | world | aries | few,second | pair | 第二 | . | 第二个 | 。,second | pair | 。 | same | . | couple,。 | one | two | third | overall | part,
ASR held-out example,VAL_ASR_EN_010,the amazon river is the second longest and the biggest river on earth it carries more than 8 times as much water as the second biggest river,319, second,biggest | largest | . | busiest | big | big,16,Crack | 驶 | 口径 | <|10.33|> | 场面 | 搀, | second |  | 第三 | 第二种 | .,second | 第三 | third | 第二种 | 紫 | 后面,条 | third | 紫 | second | 第三 | fifth,
ASR held-out example,VAL_ASR_EN_010,the amazon river is the second longest and the biggest river on earth it carries more than 8 times as much water as the second biggest river,319, second,biggest | largest | . | busiest | big | big,20,runner | magnitude | 居 | 席 | 体积 | biggest,second | 第二 | largest | 最大的 | 第二大 | 最大,second | largest | (second | biggest | third | smallest,second | (second | third | largest | 紫 | highest,
ASR held-out example,VAL_ASR_EN_010,the amazon river is the second longest and the biggest river on earth it carries more than 8 times as much water as the second biggest river,319, second,biggest | largest | . | busiest | big | big,24,biggest | largest | big | 最大的 | 口径 | big,biggest | largest | 最大的 | second | 最大 | 第二大,biggest | largest | 最大的 | second | big | 最大,biggest | largest | 最大的 | big | second | highest,
ASR held-out example,VAL_ASR_EN_010,the amazon river is the second longest and the biggest river on earth it carries more than 8 times as much water as the second biggest river,319, second,biggest | largest | . | busiest | big | big,28,biggest | big | 最大的 | second | largest | big,biggest | largest | big | big | 最大的 | second,biggest | largest | big | big | second | 最大的,biggest | largest | big | second | big | 最大的,
ASR held-out example,VAL_ASR_EN_010,the amazon river is the second longest and the biggest river on earth it carries more than 8 times as much water as the second biggest river,319, second,biggest | largest | . | busiest | big | big,30,biggest | big | second | 最大的 | largest | big,biggest | largest | 最大的 | big | second | big,biggest | largest | 最大的 | big | second | big,biggest | largest | big | 最大的 | second | big,
ASR held-out example,VAL_ASR_EN_010,the amazon river is the second longest and the biggest river on earth it carries more than 8 times as much water as the second biggest river,320, biggest,river | . | <|im_end|> | River | rivers | ,0,t | A | * | T | A | ?,最大的 | 最 | biggest | 莫过于 | 最大 | 最小,最 | 最大的 | biggest | largest | 最大 | and,and | one | 牢固 | largest | first | overall,
ASR held-out example,VAL_ASR_EN_010,the amazon river is the second longest and the biggest river on earth it carries more than 8 times as much water as the second biggest river,320, biggest,river | . | <|im_end|> | River | rivers | ,8,"part | 毛 | 持 | lets | "" | 方面",biggest | 最大的 | 大小 | 最小 | 最 | 最大,biggest | largest | 本身的 | 大小 | known | big,轰 | largest | one | 本身的 | overall | big,
ASR held-out example,VAL_ASR_EN_010,the amazon river is the second longest and the biggest river on earth it carries more than 8 times as much water as the second biggest river,320, biggest,river | . | <|im_end|> | River | rivers | ,16,挤 | 事 | 同类 | 把这个 | ness | 瑰,smallest | 最小 | 最 | known |  | 最,known | smallest | 同类 | 最 | 最 | 同等,known | 紫 | 字体 | 舍得 | river | water,
ASR held-out example,VAL_ASR_EN_010,the amazon river is the second longest and the biggest river on earth it carries more than 8 times as much water as the second biggest river,320, biggest,river | . | <|im_end|> | River | rivers | ,20,挤 | 同类 | 单项 | river | 居 | 法则,river | 河流 | rivers | 河 | 下游 | smallest,river | rivers | 河流 | 舍得 | 溪 | River,river | rivers | 舍得 | abcdefghijklmnopqrstuvwxyz | 还有什么 | 浩,
ASR held-out example,VAL_ASR_EN_010,the amazon river is the second longest and the biggest river on earth it carries more than 8 times as much water as the second biggest river,320, biggest,river | . | <|im_end|> | River | rivers | ,24,river | River | 还有什么 | 河流 | rivers | ',river | River | rivers | river | 河流 | 河,river | rivers | River | 河流 | river | 河,river | rivers | River | 河流 | river | 还有什么,
ASR held-out example,VAL_ASR_EN_010,the amazon river is the second longest and the biggest river on earth it carries more than 8 times as much water as the second biggest river,320, biggest,river | . | <|im_end|> | River | rivers | ,28,river | River | 河 | 河流 |  | .,river | River | river | 河流 | rivers | 河,river | River | river | 河流 | rivers | River,river | River | river | 河流 | rivers | River,
ASR held-out example,VAL_ASR_EN_010,the amazon river is the second longest and the biggest river on earth it carries more than 8 times as much water as the second biggest river,320, biggest,river | . | <|im_end|> | River | rivers | ,30,river | River |  | . |  | ,river | <|im_end|> | River | river | . | on,river | <|im_end|> | River | river | rivers | .,river | <|im_end|> | River | river | rivers | River,
ASR held-out example,VAL_ASR_EN_010,the amazon river is the second longest and the biggest river on earth it carries more than 8 times as much water as the second biggest river,321, river,<|im_end|> | . | . | . | .' | ,0,口 | 草 | g | ce | 建 | 成,的力量 | 火焰 | 放下 | 被 |  | 恐慌,放下 | 便利 | 婚姻 | 峡 | 。 | 毯,<|im_end|> | pageSize | pstmt | BeautifulSoup | sounds | sammen,
ASR held-out example,VAL_ASR_EN_010,the amazon river is the second longest and the biggest river on earth it carries more than 8 times as much water as the second biggest river,321, river,<|im_end|> | . | . | . | .' | ,8,部分内容 | 和睦 | 新兴 | ine | 简单 | 企业发展,河 | 。 | 河边 | river | 物 | 大地,河 | river | 物 | 。 | flowing | rivers,river | flow | flowing | camp | 物 | oid,
ASR held-out example,VAL_ASR_EN_010,the amazon river is the second longest and the biggest river on earth it carries more than 8 times as much water as the second biggest river,321, river,<|im_end|> | . | . | . | .' | ,16,雷 | ornment | pe | 皂 | 尾 | ina, | . | 。 | . | <|endoftext|> | ,。 | . |  | 。 | <|im_end|> | <|endoftext|>,<|im_end|> | 。 | . | 等等 | 增值服务 | river,
ASR held-out example,VAL_ASR_EN_010,the amazon river is the second longest and the biggest river on earth it carries more than 8 times as much water as the second biggest river,321, river,<|im_end|> | . | . | . | .' | ,20,接 | . | 冒 | cope | 居 | 翻,. | . | 。 |  | . | <|im_end|>,. | <|im_end|> | 。 | . | . | ,<|im_end|> | 。 | . | ]. | `. | '.,
ASR held-out example,VAL_ASR_EN_010,the amazon river is the second longest and the biggest river on earth it carries more than 8 times as much water as the second biggest river,321, river,<|im_end|> | . | . | . | .' | ,24,. | . | 口 | 接 | ing | 2,. | . |  | <|im_end|> | ' | 。,<|im_end|> | . | . | 。 |  | ',"<|im_end|> | . | 。 | ， | ."", | .",
ASR held-out example,VAL_ASR_EN_010,the amazon river is the second longest and the biggest river on earth it carries more than 8 times as much water as the second biggest river,321, river,<|im_end|> | . | . | . | .' | ,28,. | . | .. | . | on | ,<|im_end|> | . | . | .' | on | ．,<|im_end|> | . | . | ． | \. | .,"<|im_end|> | . | . | ． | \. | .\""",
ASR held-out example,VAL_ASR_EN_010,the amazon river is the second longest and the biggest river on earth it carries more than 8 times as much water as the second biggest river,321, river,<|im_end|> | . | . | . | .' | ,30,. | <|im_end|> | . | . |  | on,"<|im_end|> | . | . | . | .' | .\""","<|im_end|> | . | . | . | .\"" | \.","<|im_end|> | . | . | .\"" | . | \.",
ASR held-out example,VAL_ASR_EN_020,they normally offer higher bandwidth and better quality of service they are encrypted and thus harder to spy on,226, thus,harder | hard | hardness | hardly | hardened | happier,0,n |  | 身心健康 | 朝 | 档 | 洞,<|0.00|> | 并非 | 遗忘 | <|0.59|> | 以此 | 然是,所需 | repeated | thus | 并非 | 让他 | 同仁,exce | 所需 | ly | nor | 与其 | 荣誉,
ASR held-out example,VAL_ASR_EN_020,they normally offer higher bandwidth and better quality of service they are encrypted and thus harder to spy on,226, thus,harder | hard | hardness | hardly | hardened | happier,8,"ly | , |  | far | a | 矛盾",thus | 从而 | 如此 | 诸 | Thus | 便是,thus | 诸 | forth | so | 从而 | such,ly | again | the | thus | their | those,
ASR held-out example,VAL_ASR_EN_020,they normally offer higher bandwidth and better quality of service they are encrypted and thus harder to spy on,226, thus,harder | hard | hardness | hardly | hardened | happier,16,", | 进入 | ly | 节 | forth | .",. | . | forth | 更加 | the | .,the | forth | ly | imp | be | to,<|im_end|> | the | _presence | ctime | ly | mtime,
ASR held-out example,VAL_ASR_EN_020,they normally offer higher bandwidth and better quality of service they are encrypted and thus harder to spy on,226, thus,harder | hard | hardness | hardly | hardened | happier,20,", | 更 | h | m | it | forth",更容易 | 更加 | 更 | harder | more | easier,更容易 | 更加 | harder | 更 | more | 难,harder | 更加 | 更容易 | 互相 | higher | 更,
ASR held-out example,VAL_ASR_EN_020,they normally offer higher bandwidth and better quality of service they are encrypted and thus harder to spy on,226, thus,harder | hard | hardness | hardly | hardened | happier,24,难 | hard | harder | 很难 | difficult | Hard,harder | hard | 更容易 | 难 | difficult | 很难,harder | hard | 难 | difficult | 很难 | 更容易,harder | hard | 难 | difficult | 难度 | 很难,
ASR held-out example,VAL_ASR_EN_020,they normally offer higher bandwidth and better quality of service they are encrypted and thus harder to spy on,226, thus,harder | hard | hardness | hardly | hardened | happier,28,harder | hard | 难 | hard | 更 | Hard,harder | hard | 难 | difficult | hard | hardness,harder | hard | 难 | difficult | 难度 | hard,harder | hard | difficult | 难 | 难度 | impossible,
ASR held-out example,VAL_ASR_EN_020,they normally offer higher bandwidth and better quality of service they are encrypted and thus harder to spy on,226, thus,harder | hard | hardness | hardly | hardened | happier,30,harder | hard | Hard | more | 难 | hard,harder | hard | more | are | hardness | a,harder | hard | more | hardness | are | difficult,harder | hard | more | hardness | hardly | difficult,
ASR held-out example,VAL_ASR_EN_020,they normally offer higher bandwidth and better quality of service they are encrypted and thus harder to spy on,228, to,spy | spies | spike | spam | spy | spying,0," | - | on | ... | , | [",被 | 从 | 送到 | 接 | 商业 | missing,complete | horn | be | 不得 | missing | 被,be | 师生 | 完毕 | 综合实力 | 看病 | see,
ASR held-out example,VAL_ASR_EN_020,they normally offer higher bandwidth and better quality of service they are encrypted and thus harder to spy on,228, to,spy | spies | spike | spam | spy | spying,8,. |  | ment | than | - | on,易 | 容易 | 很难 | 很容易 | than | easy,易 | than | 容易 | 不易 | 很难 | easy,易 | impossible | than | 做到 | 不易 | handle,
ASR held-out example,VAL_ASR_EN_020,they normally offer higher bandwidth and better quality of service they are encrypted and thus harder to spy on,228, to,spy | spies | spike | spam | spy | spying,16,S | 外面 | . | see | 着手 | s,易于 | 易 | easy | or | if | Easy,易 | to | the | 易于 | easy | be,易 | the | to | 寄托 | 心头 | use,
ASR held-out example,VAL_ASR_EN_020,they normally offer higher bandwidth and better quality of service they are encrypted and thus harder to spy on,228, to,spy | spies | spike | spam | spy | spying,20,的一个 | S | 同行 | 同样 | 枚 | 围,侦查 | 监督 | spy | track | s | 监控,侦查 | 监督 | track | spy | free | 监控,侦查 | track | 监督 | 半小时 | 产业升级 | spy,
ASR held-out example,VAL_ASR_EN_020,they normally offer higher bandwidth and better quality of service they are encrypted and thus harder to spy on,228, to,spy | spies | spike | spam | spy | spying,24,scope | 日子 | sp | 侦查 | 监控 | �,spy | scope | Spy | track | spy | spying,spy | scope | track | 监视 | Spy | Spy,spy | track | 监视 | Spy | scope | 侦查,
ASR held-out example,VAL_ASR_EN_020,they normally offer higher bandwidth and better quality of service they are encrypted and thus harder to spy on,228, to,spy | spies | spike | spam | spy | spying,28,scope | spy | - | � | a | 腰,spy | monitor | Spy | scope | track | spy,spy | monitor | 监视 | Spy | intr | track,spy | intr | 监视 | Spy | monitor | track,
ASR held-out example,VAL_ASR_EN_020,they normally offer higher bandwidth and better quality of service they are encrypted and thus harder to spy on,228, to,spy | spies | spike | spam | spy | spying,30,spy | sp | e | Sp | spike | spi,spy | sp | e | ' | spy | spi,spy | sp | spy | e | Spy | spi,spy | sp | spy | Spy | spying | spies,
ASR held-out example,VAL_ASR_EN_020,they normally offer higher bandwidth and better quality of service they are encrypted and thus harder to spy on,229, spy,on | upon | -on | on | <|im_end|> | .,0,( | _ | / | j | ter | an,遗忘 | 碘 | 模仿 | 叛 | 谍 | 簌,模仿 | 谍 | 调动 | 簌 | 史诗 | 访谈,<|im_end|> | @$ | BeautifulSoup | 这个职业 | différence | 访谈,
ASR held-out example,VAL_ASR_EN_020,they normally offer higher bandwidth and better quality of service they are encrypted and thus harder to spy on,229, spy,on | upon | -on | on | <|im_end|> | .,8,on | 理发 | auf | ware | eth | 储蓄,"spy | . | , | 误 | ; | on",on | spy | . | spying | and | Spy,委宣传 | on | <|im_end|> | 背后 | spy | ctime,
ASR held-out example,VAL_ASR_EN_020,they normally offer higher bandwidth and better quality of service they are encrypted and thus harder to spy on,229, spy,on | upon | -on | on | <|im_end|> | .,16,on | 告 | 扶持 | 忌 | 之类 | 日子,"on | . | . | spy | , | by",on | upon | spy | . | . | ware,on | ctime | 股 | 的东西 | ware | upon,
ASR held-out example,VAL_ASR_EN_020,they normally offer higher bandwidth and better quality of service they are encrypted and thus harder to spy on,229, spy,on | upon | -on | on | <|im_end|> | .,20,on | upon | على | auf | ware | Upon,on | upon | onto | . | on | or,on | upon | onto | spy | auf | ware,on | upon | dictionary | onto | <|im_end|> | ware,
ASR held-out example,VAL_ASR_EN_020,they normally offer higher bandwidth and better quality of service they are encrypted and thus harder to spy on,229, spy,on | upon | -on | on | <|im_end|> | .,24,on | upon | on | -on | на | On,on | upon | on | onto | On | auf,on | upon | on | onto | -on | On,on | upon | on | onto | -on | On,
ASR held-out example,VAL_ASR_EN_020,they normally offer higher bandwidth and better quality of service they are encrypted and thus harder to spy on,229, spy,on | upon | -on | on | <|im_end|> | .,28,on | on | upon | 封 | onto | على,on | on | upon | onto | n | On,on | upon | onto | on | <|im_end|> | 等活动,on | upon | onto | <|im_end|> | 等活动 | on,
ASR held-out example,VAL_ASR_EN_020,they normally offer higher bandwidth and better quality of service they are encrypted and thus harder to spy on,229, spy,on | upon | -on | on | <|im_end|> | .,30,on | on | upon | -on | On | على,on | <|im_end|> | upon | on | n | and,on | <|im_end|> | upon | on | -on | On,on | <|im_end|> | upon | on | -on | On,
ASR held-out example,VAL_ASR_EN_020,they normally offer higher bandwidth and better quality of service they are encrypted and thus harder to spy on,230, on,"<|im_end|> | . | .' | 。 | .\"" | .",0, | - |  | v | ( | a,被 | on | basis | serving | 放出 | <|0.00|>,on | basis | on | from | known | being,or | on | <|im_end|> | fighting | but | side,
ASR held-out example,VAL_ASR_EN_020,they normally offer higher bandwidth and better quality of service they are encrypted and thus harder to spy on,230, on,"<|im_end|> | . | .' | 。 | .\"" | .",8,化 | . | ( | A | g | B,". | , | 。 | ; | . | <|0.00|>",". | , | 。 | and | the | .",. | the | and | 。 | to | with,
ASR held-out example,VAL_ASR_EN_020,they normally offer higher bandwidth and better quality of service they are encrypted and thus harder to spy on,230, on,"<|im_end|> | . | .' | 。 | .\"" | .",16,遭 | 圆形 | � | vert | 塞 | �,". | . | . | , | 。 | ",. | . | . | 。 | 。 | <|im_end|>,<|im_end|> | . | 。 | . | . | 。,
ASR held-out example,VAL_ASR_EN_020,they normally offer higher bandwidth and better quality of service they are encrypted and thus harder to spy on,230, on,"<|im_end|> | . | .' | 。 | .\"" | .",20,. | . |  | n | 比 | than,. | . | . | 。 | .' | 。,. | . | . | <|im_end|> | 。 | 。,<|im_end|> | 。 | 。 | . | . | .,
ASR held-out example,VAL_ASR_EN_020,they normally offer higher bandwidth and better quality of service they are encrypted and thus harder to spy on,230, on,"<|im_end|> | . | .' | 。 | .\"" | .",24,. | . | than | .' | . | ,".' | . | <|im_end|> | . | . | .\""","<|im_end|> | .' | . | . | .\"" | .","<|im_end|> | .\"" | .' | . | . | 。",
